fid,notificationToken,added
12,null,false
1103,null,false
1350,null,false
1397,0198df28-4341-bcdd-e89d-1591f56554db,true
1631,null,false
1733,null,false
1870,null,false
2783,null,false
2802,null,false
3295,null,false
3558,null,false
3621,null,false
4282,null,false
5842,null,false
6852,0198f7c6-1482-eaae-25c5-59f3e9a497aa,true
7590,null,false
7674,0198da07-6b84-79d3-91ea-91e3def3e414,true
7681,0198ed41-0d44-601b-ffa1-4dd79a2b27ea,true
7988,null,false
8004,null,false
8763,null,false
10032,0199498c-63ac-c775-e734-5b7038b37c01,true
10715,null,false
10976,null,false
11617,0198db56-e4d9-ddf5-9959-cbe5fa14e200,true
11961,null,false
12309,null,false
13175,null,false
13351,0198e09b-4597-59dc-4d62-1a5e138c0162,true
13426,null,false
13626,null,false
13874,019935e1-346d-d757-4a08-6bd7d4d7530e,true
14418,null,false
14432,null,false
15104,null,false
16075,01990a97-b26f-e1a9-b2c9-c6610c7d4433,true
16085,null,false
16956,0198dd26-7a05-220a-38cb-6bef67c897d6,true
17406,null,true
17474,0199485e-3639-0be5-ed38-ebff65d88025,false
17491,null,false
17652,null,false
17918,null,false
19742,null,false
20359,null,false
21024,019937d0-3856-9d4d-ccff-4e043479ae06,true
21431,null,false
24204,null,false
187800,null,false
189052,0198dae1-6be6-5e1b-3c82-23d87dc31f7f,true
190653,null,false
191432,null,false
192377,0198db54-18b6-9caa-e173-816063da5cc3,true
193235,0198da4e-00f8-1825-1966-ef548065c5a0,true
193247,null,false
193874,null,false
196920,null,false
197377,0198e90e-8bc0-8074-d037-c089ef8112c8,true
199190,019948c2-18a7-9e38-50db-fb67bd4d4bbd,true
200588,0198dce3-ab93-abbb-8d7a-48f0a74370c4,false
202051,null,false
202461,null,false
202576,0198d91f-015e-7999-0f0c-08e65534a3d6,true
204385,0199436b-e3ed-2750-65dc-1c873d5f6b14,true
205083,0198d8aa-87e6-49cb-0b4b-f63d37311591,true
208189,019911e7-7205-a650-cf3c-82aff53176e1,true
208744,019949c3-8d39-012a-bf1d-158d9a79debe,true
210571,0198f4e3-576d-25b1-89b0-b7b1b74a5800,true
211047,null,false
212581,0198dc33-0363-5fb0-fea5-aa6bc77a44d8,true
213543,null,false
216583,01995e7e-626e-9baf-9ea4-d6fa19ef210e,true
217617,0198e4b3-2d9e-6cb8-a436-da02baca9260,true
218950,null,false
219113,019955bb-d1a5-56e3-1151-32796b5feb2c,true
222942,0198df36-18f4-4b50-da58-a5eda26fa989,true
227551,0198e226-1d76-14e7-cbe8-cdb4444a6a41,true
229801,null,false
229843,null,false
234598,null,false
234943,null,false
234986,0198d909-c84b-afd9-0dc3-cb0d4ca0e030,true
235048,null,false
235390,null,false
235888,null,false
236578,0198ec89-6685-76a8-da73-311cece17309,true
236598,null,false
237254,null,false
237463,0198d953-04d2-4c92-3be9-8d90f55df901,true
237884,null,false
238032,null,false
238383,0198ddbf-8148-c47c-83d4-4e5898381baf,true
239526,0198dd8c-e8a0-a809-a616-e30d9fe4ffde,true
240012,null,false
240255,0198d9b3-d7e1-b028-c0d6-c0219003f81e,true
243108,null,false
243225,null,false
243913,null,false
244445,0198d840-8ae9-144e-5eeb-227d241f0ef4,true
245286,0198deaa-4953-4115-43fd-659b63041157,true
245433,0198d9be-789a-d994-b5f3-188c75e31f55,true
246010,null,false
248344,null,false
248451,0198e057-e292-04a8-c592-46668ac468c8,true
248576,01994ddb-e2c4-d33a-d4c1-f9ea719c11b9,true
248626,null,false
249432,null,false
249629,0198e72d-6712-f8b7-dfd6-b82a25f26abf,true
249702,0198d74d-1732-b8c3-365f-d8fa987c70b0,true
251076,0198dbac-f953-446f-9071-4d2df7ace5e1,true
251230,019964a5-9c4f-84b3-25ed-46348dc4f2de,true
251745,0198d8a0-f5aa-8eae-3663-a958490bffbe,true
252673,null,false
252720,null,false
252726,null,false
252853,0198eccf-34c2-72e2-66b0-7795cb811d3e,true
253598,null,false
254210,0198d7d1-48e8-2ba9-b057-7bafec72defa,true
254438,0198d99e-d134-c0b9-757a-b7b034725cf6,true
254929,0198d82d-2fed-d92b-0be5-e03f534b5248,true
255802,null,false
255868,0198e04f-34ea-ebb8-7776-5a90740c9b47,true
255996,null,false
256014,null,false
256076,0198dfae-bf91-34fe-460e-fbd522e2f928,true
256357,null,false
256500,null,false
257004,0198dbc8-e284-23fb-e821-69bd4e10531c,true
257505,null,false
257789,null,false
258192,0198d91a-9ec7-4a81-7608-b51dbbc009cb,true
258255,null,false
258379,01991b03-5f13-7281-4c0f-092e64a7fb36,true
258796,0199091e-fe33-d142-26f8-a18731e387ec,true
259624,0198e696-dec5-2317-8bfc-f67b5417decb,true
259913,null,false
260029,0198dab8-460f-4265-0da7-68829a748d4d,true
260203,null,false
260299,null,false
260655,0199576e-cc76-75d8-65f6-93c87fd4808d,true
260656,null,false
261023,null,false
261208,null,false
261260,0199132e-33dc-1372-cf99-629b5bb20254,true
261895,01994a02-e449-3cf3-95d9-510c40f06c82,true
261986,null,false
262209,019942c4-1c25-1b33-573c-476efdde5360,true
262438,0198d90d-5395-3580-bd39-86184b1cc4e8,true
263624,null,false
263801,null,false
264988,0198dd8b-b335-2592-4f18-3b98c66c02e6,true
265504,null,false
265611,0198daf1-deea-2f45-7ba9-e42ce257dd39,true
266547,01990052-30b3-8119-e60f-bb994828f2d4,true
266617,01990d84-d825-215a-7e67-d952d1a04213,true
267104,null,false
267710,null,false
268242,01999f4b-9c8d-c387-4d8c-398eefcc8803,true
268485,01999ee1-7317-c2c5-6508-9eb33e04be78,true
268669,01999ec5-6aec-f070-5766-95d9befb2c05,true
270090,01999f6e-ad00-9b46-1d19-e71c7ea1a523,true
270149,null,false
270186,01999ed6-addb-a3e7-4bbf-f44a4e037795,true
271980,0199430c-cf82-3278-97ab-3a3505d4a241,true
272564,null,false
273123,0198eb63-1823-6695-7332-1f7df40c7fea,true
273338,01995f78-77f7-9182-af95-c5a6df1f4f80,true
273490,null,false
273957,0198f171-61f0-5172-b7fb-2e20f0b8a67f,true
274933,null,false
277093,null,false
278931,01997830-c151-44b6-646b-e2f49da64d37,true
279528,null,false
280104,0198ed9a-b7dc-182a-dc6a-c52db3ee7c2b,true
280191,null,false
280733,null,false
281505,0199d9d6-d804-ae93-f15b-165a84af0ad4,true
284713,null,false
285604,null,false
286663,0198d8c5-bcbf-dabb-a220-26e62e76f9eb,true
286812,0198f1bc-314b-a445-e14c-49970e3dd9c4,true
286924,null,false
288419,null,false
289203,null,false
290129,null,true
291300,0198e6a9-048f-427e-a83c-808c1f97a671,true
291302,0198d7de-35f3-2153-2f4a-4297d06074ed,true
291844,null,false
292188,null,false
292298,0198da60-274d-bd26-5ee1-0a6a72998104,true
292789,0199b432-ab5f-42a2-8273-85d8df830039,true
293153,0199aa60-ca7c-07a6-0b06-1574bbee6022,true
293269,null,false
294039,null,false
294918,null,false
298464,0198d900-a87b-8bbe-47e6-eef45dcd3132,true
298610,019954b5-102a-3bdc-946d-5ef908204832,true
299395,null,false
299597,01992836-5ad9-750e-9894-bb57768c1393,false
299888,null,false
299894,0198d853-8faf-70c7-80af-a898c4f4ad8d,true
299977,0198fd75-d256-34a5-bfcf-3e0ea8d4a6ab,true
302097,0198fa4d-6354-4d20-7fdb-1868d81d15a3,true
302896,null,false
303150,0198dab5-da3f-c718-9137-c72ee4e0fce6,true
303198,0198d844-22b2-ecdd-6c5b-89e766dea304,true
304381,0198f64d-ac61-e916-367b-f3a02060bd4e,true
304671,null,false
304808,0198debb-3c33-d551-fbfb-13c1f7a91b29,true
304817,01990f6e-cc99-a787-980b-2aa8f48246ed,true
305394,0198d98d-8a04-8006-9650-a6551d38c5a1,true
306577,0198f116-ed95-6860-97e1-a31e27a0ef7a,true
307746,null,false
308652,0199aaad-41ec-549d-3f10-6997cbaca006,true
309293,0198f7fc-102a-d3dc-d617-4746b2afa788,true
310901,null,false
310942,null,false
311327,0198d856-aceb-50e1-4818-09f847b3e66f,true
311386,null,false
311822,0198eea4-a031-7ea7-997a-91cbb50fd1c4,true
312418,0198f0ba-53f0-19e8-c3c6-353402e85ad3,true
312655,0198db68-fb74-e2eb-d8fc-b98394800927,true
313022,null,false
313461,0198e055-ea50-fe97-6c0c-ae366bca2bb6,true
314208,0198d33c-9001-7f49-41d4-1263b51b2190,true
315110,0198daff-4f52-e09d-f2bb-a6010b5391b9,true
315225,null,false
315699,null,false
315947,null,false
316864,null,false
317795,019951ae-c261-1be2-692a-90b9e1f584b3,true
318933,null,false
320938,null,false
321405,0198dc08-6026-74b9-b73f-646cf9bba38c,true
322083,01990725-eedb-d53b-039d-220e02076c05,true
323021,null,false
323378,0198dc9f-7f9f-c025-bc19-6e5c1386382b,true
323797,null,false
327821,null,false
328381,null,false
329017,null,false
329215,null,false
332816,019914c4-a37e-b49f-7928-a7c1ee0732fd,true
333041,019948cd-bca5-1e95-8355-23fa7daf60d2,true
